"T12,Gross domestic product and gross domestic product per capita,,,"
"Region/Country/Area,,Year,population,Value"
"1,""Total, all countries or areas"",1985,108537901.8,13567237.72"
"1,""Total, all countries or areas"",1995,249026183,31128272.88"
"1,""Total, all countries or areas"",2005,380840307,47605038.38"
"1,""Total, all countries or areas"",2010,529854630,66231828.75"
"1,""Total, all countries or areas"",2015,599061183.7,74882647.96"
"1,""Total, all countries or areas"",2017,646313583,80789197.88"
"1,""Total, all countries or areas"",2018,685546572.9,85693321.61"
"1,""Total, all countries or areas"",1985,22297.1408,2787.1426"
"1,""Total, all countries or areas"",1995,43361.8032,5420.2254"
"1,""Total, all countries or areas"",2005,58230.0296,7278.7537"
"1,""Total, all countries or areas"",2010,76181.7864,9522.7233"
"1,""Total, all countries or areas"",2015,81195.3864,10149.4233"
"1,""Total, all countries or areas"",2017,85649.4368,10706.1796"
"1,""Total, all countries or areas"",2018,89857.7424,11232.2178"
"1,""Total, all countries or areas"",1985,240431701.1,30053962.64"
"1,""Total, all countries or areas"",1995,321928053,40241006.63"
"1,""Total, all countries or areas"",2005,450956159.4,56369519.93"
"1,""Total, all countries or areas"",2010,517593286.2,64699160.78"
"1,""Total, all countries or areas"",2015,599061183.7,74882647.96"
"1,""Total, all countries or areas"",2017,635430527.5,79428815.94"
"1,""Total, all countries or areas"",2018,655154746.2,81894343.28"
"1,""Total, all countries or areas"",1985,28.3704,3.5463"
"1,""Total, all countries or areas"",1995,25.0904,3.1363"
"1,""Total, all countries or areas"",2005,32.592,4.074"
"1,""Total, all countries or areas"",2010,35.456,4.432"
"1,""Total, all countries or areas"",2015,24.2872,3.0359"
"1,""Total, all countries or areas"",2017,26.4712,3.3089"
"1,""Total, all countries or areas"",2018,24.8328,3.1041"
"2,Africa,1985,4408417.038,551052.1297"
"2,Africa,1995,4677794.66,584724.3325"
"2,Africa,2005,9020829.36,1127603.67"
"2,Africa,2010,15747643.62,1968455.453"
"2,Africa,2015,18450230.09,2306278.761"
"2,Africa,2017,17873863.8,2234232.975"
"2,Africa,2018,18921946.59,2365243.324"
"2,Africa,1985,8047.404,1005.9255"
"2,Africa,1995,6531.304,816.413"
"2,Africa,2005,9861.6136,1232.7017"
"2,Africa,2010,15174.3664,1896.7958"
"2,Africa,2015,15625.1512,1953.1439"
"2,Africa,2017,14385.0032,1798.1254"
"2,Africa,2018,14849.996,1856.2495"
"2,Africa,1985,6597323.164,824665.3955"
"2,Africa,1995,7981953.29,997744.1613"
"2,Africa,2005,12366888.06,1545861.007"
"2,Africa,2010,16179354.98,2022419.373"
"2,Africa,2015,18450230.09,2306278.761"
"2,Africa,2017,19438028.73,2429753.591"
"2,Africa,2018,20057018.62,2507127.327"
"2,Africa,1985,29.28,3.66"
"2,Africa,1995,21.2776,2.6597"
"2,Africa,2005,49.8216,6.2277"
"2,Africa,2010,44.7632,5.5954"
"2,Africa,2015,20.66,2.5825"
"2,Africa,2017,27.8328,3.4791"
"2,Africa,2018,25.4752,3.1844"
"15,Northern Africa,1985,1140049.73,142506.2163"
"15,Northern Africa,1995,1659137.078,207392.1348"
"15,Northern Africa,2005,2984844.754,373105.5942"
"15,Northern Africa,2010,5189812.982,648726.6228"
"15,Northern Africa,2015,5837401.337,729675.1671"
"15,Northern Africa,2017,5289555.359,661194.4199"
"15,Northern Africa,2018,5329731.814,666216.4768"
"15,Northern Africa,1985,8918.9264,1114.8658"
"15,Northern Africa,1995,10281.3736,1285.1717"
"15,Northern Africa,2005,15423.9848,1927.9981"
"15,Northern Africa,2010,25633.7696,3204.2212"
"15,Northern Africa,2015,26137.3776,3267.1722"
